filename,title,authors,series,url,Category
9780061235900_a781908d-0c66-4a56-92e3-ad761b7072a6.jpg,Fancy Nancy: Splendiferous Christmas,"Jane O'Connor, Robin Preiss Glasser",Fancy Nancy,https://harpercollins.com/products/fancy-nancy-splendiferous-christmas-jane-oconnorjane-oconnor,Picture Books
9780688009069_da65fcea-0c86-4a92-88d4-868db817c1a0.jpg,"Ten, Nine, Eight",Molly Bang,,https://harpercollins.com/products/ten-nine-eight-molly-bangmolly-bang,Picture Books
9780688009069_da65fcea-0c86-4a92-88d4-868db817c1a0.jpg,"Ten, Nine, Eight",Molly Bang,,https://harpercollins.com/products/ten-nine-eight-molly-bangmolly-bang,Board Books
9781328770042_ac3e15c4-f491-458f-83e6-3c6110ea18b9.jpg,"Go to Sleep, Little Farm Lap Board Book","Mary Lyn Ray, Christopher Silas Neal",,https://harpercollins.com/products/go-to-sleep-little-farm-lap-board-book-mary-lyn-ray-1,Picture Books
9781328770042_ac3e15c4-f491-458f-83e6-3c6110ea18b9.jpg,"Go to Sleep, Little Farm Lap Board Book","Mary Lyn Ray, Christopher Silas Neal",,https://harpercollins.com/products/go-to-sleep-little-farm-lap-board-book-mary-lyn-ray-1,Board Books
9780547758640_b0178c7e-4a3a-47eb-b7b9-180dd453f024.jpg,Roots and Blues,"Arnold Adoff, R. Gregory Christie",,https://harpercollins.com/products/roots-and-blues-arnold-adoff-1,Picture Books
9780547771113_47e4e956-15b2-4598-a7ec-833be2084509.jpg,On the Hill,Lisa Clough,,https://harpercollins.com/products/on-the-hill-lisa-clough,Picture Books
9780060233518_ee412440-b840-438c-be4a-cb941bf81f57.jpg,The Carrot Seed,"Ruth Krauss, Crockett Johnson",,https://harpercollins.com/products/the-carrot-seed-ruth-kraussruth-krauss,Picture Books
9780060233518_ee412440-b840-438c-be4a-cb941bf81f57.jpg,The Carrot Seed,"Ruth Krauss, Crockett Johnson",,https://harpercollins.com/products/the-carrot-seed-ruth-kraussruth-krauss,Board Books
9780544358638_060dbbc6-64f7-4632-8b15-0c33f584f106.jpg,Bradford Street Buddies: Block Party Surprise,"Jerdine Nolen, Michelle Henninger",Bradford Street Buddies,https://harpercollins.com/products/bradford-street-buddies-block-party-surprise-jerdine-nolen,Beginning Readers
9780063067011.jpg,"Hello, Biscuit. Hello, Friends.","Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/hello-biscuit-hello-friends-alyssa-satin-capucilli,Beginning Readers
